show_id,type,title,country,release_year,rating,listed_in,description
s4988,Movie,Project Power,United States,2020,R,Action & Adventure,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers."
s5255,Movie,Rogue Warfare,United States,2019,R,Action & Adventure,An elite international squad of uniquely skilled special forces is assembled to combat a rising underground terrorist threat in the Middle East.
s5256,Movie,Rogue Warfare: The Hunt,United States,2020,R,Action & Adventure,"When their leader is captured by an extremist organization, a special forces team stages a perilous rescue mission as time runs out."
s5323,Movie,S.W.A.T.,United States,2003,PG-13,Action & Adventure,"A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal."
s5448,Movie,Seal Team Six: The Raid on Osama Bin Laden,United States,2012,TV-MA,Action & Adventure,"In this dramatic recreation, U.S. Navy SEAL Team 6 trains for a critical mission, then executes a tough nighttime raid on Osama Bin Laden's compound."
s5480,Movie,Security,United States,2017,R,Action & Adventure,"After taking a job as a mall security guard, a former Marine steps up to protect a young girl who's being hunted by heavily armed mercenaries."
s5506,Movie,Set Up,United States,2011,R,Action & Adventure,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival."
s5949,Movie,Swordfish,United States,2001,R,Action & Adventure,"Determined to get his mitts on $9 billion in a secret DEA account so he can fight terrorism, a rogue agent recruits an encryption expert to hack in."
s5967,Movie,Takers,United States,2010,PG-13,Action & Adventure,A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.
s6053,Movie,The 2nd,United States,2020,TV-MA,Action & Adventure,"A Secret Service agent is drawn into a terrorist plot when his son's classmate, the daughter of a Supreme Court Justice, is targeted for kidnapping."
s6283,Movie,The Debt Collector 2,United States,2020,TV-MA,Action & Adventure,"French and Sue have two days to collect on three debts, using as much force as it takes – all while evading the wrath of a crime lord out for revenge."
s6434,Movie,The Hard Way,United States,2019,TV-MA,Action & Adventure,"After learning his brother died on a mission in Romania, a former soldier teams up with two allies to hunt down a mysterious enemy and exact revenge."
s6458,Movie,The Hollow Point,United States,2016,R,Action & Adventure,New straight-arrow sheriff Wallace finds he must join forces with brutal ex-lawman Leland to protect a troubled border town from a cartel hit man.
s6720,Movie,The Old Guard,United States,2020,R,Action & Adventure,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
s6745,Movie,The Peacemaker,United States,1997,R,Action & Adventure,"After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue."
s6829,Movie,The River Wild,United States,1994,PG-13,Action & Adventure,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river."
s6847,Movie,The Saint,United States,2017,TV-14,Action & Adventure,"Master thief Simon Templar – also known as the Saint – is hired by a wealthy banker to find his kidnapped daughter, but not all is as it seems."
s7167,Movie,Tracers,United States,2015,PG-13,Action & Adventure,"When a bike messenger falls into debt with organized criminals, a sexy woman draws him into her high-stakes world of parkour, teaching him new skills."
s7229,Movie,Triple Frontier,United States,2019,R,Action & Adventure,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences."
s7240,Movie,Troy: The Odyssey,United States,2017,TV-MA,Action & Adventure,"Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home."
s7378,Movie,USS Indianapolis: Men of Courage,United States,2016,R,Action & Adventure,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks."
s7393,Movie,Vantage Point,United States,2008,PG-13,Action & Adventure,"Moments after he arrives in Spain for an antiterrorism summit, U.S. President Ashton is shot."
s7530,Movie,Welcome to Sudden Death,United States,2020,R,Action & Adventure,"At a basketball game, an ex-Special Forces officer must face a group of tech-savvy hostiles when a team owner and his daughter are taken hostage."
s7576,Movie,Wheelman,United States,2017,TV-MA,Action & Adventure,The getaway driver in a botched robbery puts his skills and smarts to the test when he receives shocking orders from an unknown caller.
s7682,Movie,Wyatt Earp,United States,1994,PG-13,Action & Adventure,"Legendary lawman Wyatt Earp is continually at odds with a gang of renegade cowboys, culminating in a fiery showdown with the outlaws at the OK Corral."
s7690,Movie,XXX: State of the Union,United States,2005,PG-13,Action & Adventure,"In this action-packed follow-up to XXX, U.S. intelligence officer Augustus Gibbons must thwart a massive conspiracy to overthrow the government."
s1675,Movie,Death Race: Beyond Anarchy,United States,2017,R,Action & Adventure,"An ex-racecar driver is sent to a barbaric prison where, to get pardoned, he must defeat the inmate known as Frankenstein in a lethal ""Death Race."""
s6095,Movie,The Art of War,United States,2000,R,Action & Adventure,"Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name."
s7476,Movie,War,United States,2007,R,Action & Adventure,"When his partner is killed and all clues point to a notorious assassin, FBI agent Jack Crawford sets out for revenge in this taut action-thriller."
s1943,Movie,El último testigo,United States,2012,R,Action & Adventure,A security expert and ex-CIA agent living in Belgium must go on the run with his estranged teen daughter when they're both marked for assassination.
s4098,Movie,Mile 22,United States,2018,R,Action & Adventure,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail."
s97,Movie,3 Days to Kill,United States,2014,PG-13,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
s72,Movie,16 Blocks,United States,2006,PG-13,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
s3376,Movie,Kill Bill: Vol. 1,United States,2003,R,Action & Adventure,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle. But she lives – and plots her vengeance."
s3531,Movie,Larceny,United States,2017,TV-14,Action & Adventure,An ex-CIA contractor turned thief is forced to head a CIA gambit to infiltrate a black ops Mexican prison and steal $50 million in drug cartel money.
s3836,Movie,Machete Kills,United States,2013,R,Action & Adventure,Killer-for-hire Machete cuts a deal with the U.S. president to stop a nuclear missile attack but discovers a much larger conspiracy.
s51,Movie,"10,000 B.C.",United States,2008,PG-13,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
s6776,Movie,The Prince,United States,2014,R,Action & Adventure,A former Mafia hit man living quietly as a mechanic veers back into his old world after his daughter is abducted and faces an old foe in New Orleans.
s6920,Movie,The Taking of Pelham 123,United States,2009,R,Action & Adventure,"When a group of hijackers takes passengers aboard a subway train hostage and demand a ransom, it's up to dispatcher Walter Garber to bring them down."
s1847,Movie,Dragon Quest Your Story,Japan,2019,TV-PG,Action & Adventure,Luca follows in his father's footsteps to rescue his mother from evil Ladja. Finding the heavenly hero who wields the Zenithian sword is his only hope.
s4124,Movie,Mirai,Japan,2018,PG,Action & Adventure,"Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house."
s4481,Movie,NiNoKuni,Japan,2019,TV-14,Action & Adventure,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.
s3824,Movie,Lupin the 3rd: The Castle of Cagliostro: Special Edition,Japan,1979,PG-13,Action & Adventure,"Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress."
s2353,Movie,GANTZ:O,Japan,2016,TV-MA,Action & Adventure,Teams of recently deceased people who've been revived and given high-tech weapons must cooperate to defeat an army of monsters in Tokyo and Osaka.
s844,Movie,Berserk: The Golden Age Arc I - The Egg of the King,Japan,2012,TV-MA,Action & Adventure,"Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate."
s845,Movie,Berserk: The Golden Age Arc II - The Battle for Doldrey,Japan,2012,TV-MA,Action & Adventure,"For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk."
s846,Movie,Berserk: The Golden Age Arc III - The Advent,Japan,2013,TV-MA,Action & Adventure,"A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate."
s971,Movie,BLAME!,Japan,2017,TV-14,Action & Adventure,"Inside a vast, self-replicating city bent on eliminating all life, mysterious loner Killy emerges to guide a remnant of humanity desperate to survive."
s2039,Movie,EVANGELION: DEATH (TRUE)²,Japan,1998,TV-MA,Action & Adventure,"Fifteen years after the Second Impact, apathetic teen Shinji joins his father's group NERV to fight the Angels. But the truth may destroy them all."
s2128,Movie,Fate/Grand Order -First Order-,Japan,2016,TV-14,Action & Adventure,"Discovering that humanity is facing extinction, a new recruit to the Chaldea Security Organization goes back in time in order to save the future."
s2398,Movie,Ghost Pain,Japan,2013,TV-MA,Action & Adventure,"World War IV is over, but a bomb has gone off in Newport City, killing a major arms dealer who may have ties with the mysterious 501 Organization."
s2402,Movie,Ghost Tears,Japan,2014,TV-MA,Action & Adventure,"As Motoko and Batou attempt to thwart a mysterious terrorist group, Togusa tracks the killer of a man with a prosthetic leg made by Mermaid's Leg."
s2404,Movie,Ghost Whispers,Japan,2013,TV-14,Action & Adventure,"Freed of her responsibilities for the 501 Organization, Motoko must now learn how to take orders from Aramaki."
s2433,Movie,Girls und Panzer der Film,Japan,2015,TV-MA,Action & Adventure,The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.
s2460,Movie,GODZILLA City on the Edge of Battle,Japan,2018,TV-14,Action & Adventure,"On Earth, Haruo and his companions make contact with the indigenous Houtua tribe. To defeat Godzilla, they set out for the old Mechagodzilla facility."
s2461,Movie,GODZILLA The Planet Eater,Japan,2018,TV-PG,Action & Adventure,"With the earth alliance weakened, Haruo weighs siding with the Exif, whose death cult is summoning a monster that can destroy the world."
s3038,Movie,Inuyasha the Movie - L'isola del fuoco scarlatto,Japan,2004,TV-PG,Action & Adventure,"Ai, a young half-demon who has escaped from Horai Island to try to help his people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
s3039,Movie,Inuyasha the Movie - La spada del dominatore del mondo,Japan,2003,TV-14,Action & Adventure,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s3040,Movie,InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG,Action & Adventure,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
s3041,Movie,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14,Action & Adventure,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s4406,Movie,Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG,Action & Adventure,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
s4407,Movie,Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,Action & Adventure,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s4408,Movie,Naruto Shippuden : Blood Prison,Japan,2011,TV-14,Action & Adventure,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
s4409,Movie,Naruto Shippuden: The Movie,Japan,2007,TV-PG,Action & Adventure,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s4410,Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,Action & Adventure,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s4411,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,Action & Adventure,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
s4412,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,Action & Adventure,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
s4413,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,Action & Adventure,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s5695,Movie,Sol Levante,Japan,2020,TV-14,Action & Adventure,A young warrior and her familiar search for the sacred place said to fulfill wishes. It's best not to anger the ancient guardians and spirits.
s6330,Movie,The End of Evangelion,Japan,1997,TV-MA,Action & Adventure,"Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control."
s6860,Movie,The Seven Deadly Sins the Movie: Prisoners of the Sky,Japan,2018,TV-14,Action & Adventure,"The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago."
s439,Movie,Altered Carbon: Resleeved,Japan,2020,TV-MA,Action & Adventure,"On the planet Latimer, Takeshi Kovacs must protect a tattooist while investigating the death of a yakuza boss alongside a no-nonsense CTAC."
s975,Movie,Bleach The Movie: Fade to Black,Japan,2008,TV-PG,Action & Adventure,"When his mind is fogged by a scimitar-weilding stranger, Mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the Seiretei."
s976,Movie,Bleach the Movie: Hell Verse,Japan,2010,TV-14,Action & Adventure,"When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister."
s2068,Movie,Expelled from Paradise,Japan,2014,TV-MA,Action & Adventure,"In the wake of a global catastrophe, the human survivors are ""uploaded"" into a cyber network, but someone or something is infiltrating the system."
s4489,Movie,No Game No Life: Zero,Japan,2017,TV-MA,Action & Adventure,"In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction."
s2586,Movie,HALO Legends,United States,2009,PG-13,Action & Adventure,"This anthology features seven independent anime shorts from renowned directors, delving into the futuristic universe of the video game franchise Halo."
s3594,Movie,LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,Denmark,2016,TV-Y7-FV,Action & Adventure,Cole finds himself trapped in Yang's temple after accidentally releasing a host of villainous spirits that the Ninja must defeat.
s4425,Movie,National Treasure,United States,2004,PG,Action & Adventure,"Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin."
s2992,Movie,Indiana Jones and the Last Crusade,United States,1989,PG-13,Action & Adventure,"Accompanied by his father, Indiana Jones sets off on his third adventure to explore the cradle of civilization on a perilous hunt for the Holy Grail."
s2993,Movie,Indiana Jones and the Raiders of the Lost Ark,United States,1981,PG,Action & Adventure,"When Indiana Jones is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
s2994,Movie,Indiana Jones and the Temple of Doom,United States,1984,PG,Action & Adventure,"Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone."
s7341,Movie,Undercover Grandpa,Canada,2016,PG-13,Action & Adventure,"Jake's date with his dream girl takes a turn when she disappears, and Jake's grandpa – a former intelligence officer – sets out to find her."
s4910,Movie,Popeye,United States,1980,PG,Action & Adventure,"During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive."
s6880,Movie,The Sleepover,United States,2020,TV-PG,Action & Adventure,What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.
s6897,Movie,The Spy Next Door,United States,2010,PG,Action & Adventure,"While babysitting, an undercover agent is thrust back into the world of top-secret adventure when one his young charges downloads a classified file."
s2010,Movie,Enola Holmes,United Kingdom,2020,PG-13,Action & Adventure,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
s4248,Movie,Mowgli: Legend of the Jungle,United Kingdom,2018,PG-13,Action & Adventure,An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy – and his own human origins.
s263,Movie,A.X.L.,United States,2018,PG,Action & Adventure,"Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit."
s3007,Movie,Inkheart,Germany,2008,PG,Action & Adventure,"Unbeknownst to his 12-year-old daughter, a bookbinder has a secret ability to bring characters to life by reading their stories out loud."
s2991,Movie,Indiana Jones and the Kingdom of the Crystal Skull,United States,2008,PG-13,Action & Adventure,"Indiana Jones is drawn into a Russian plot to unearth the Crystal Skulls of Akator, Amazonian artifacts with supernatural powers."
s5699,Movie,Solo: A Star Wars Story,United States,2018,PG-13,Action & Adventure,"A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend."
s5700,Movie,Solo: A Star Wars Story (Spanish Version),United States,2018,PG-13,Action & Adventure,"A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend."
s5791,Movie,Star Wars: Episode VIII: The Last Jedi,United States,2017,PG-13,Action & Adventure,"As the remnants of the Resistance flee Kylo Ren and the First Order, Rey seeks out Luke Skywalker – but he wants nothing more to do with the Force."
s6551,Movie,The Last Airbender,United States,2010,PG,Action & Adventure,"In a world ravaged by the Fire nation's aggression toward the peaceful Air, Water and Earth nations, a young boy holds the key to restoring peace."
s2014,Movie,Enter the Dragon,Hong Kong Area,1973,R,Action & Adventure,"Recruited by a British agent, Shaolin master Lee infiltrates a remote island and a brutal martial arts tournament to spy on a sinister crime lord."
s1415,Movie,Cleopatra Jones,United States,1973,PG,Action & Adventure,"A stylin' special agent chases down drug lords and does her part to stop trafficking. Soon, she finds herself seeking revenge on a dealer."
s447,Movie,Amar Akbar Anthony,India,1977,TV-14,Action & Adventure,"Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital."
